language,family
Náhuatl (mexicano central de occidente),Not found
Náhuatl (mexicano de Guerrero),Not found
Náhuatl (mexicano de occidente),Not found
Nüwü Ampagap (Chemehuevi),Not found
Nłeʔkepmxcín,Not found
Nʉmʉnʉʉ (Comanche),Not found
N̓xaʔmxčín (Wenatchi),Not found
N’enytsia Vada (Nenets),Not found
Obispeño,Chumashan
Ocaina,Huitotoan
Ocloya,Not found
Odami (Tepehuano del norte),Not found
Odawa,Algic
Ofaié,Nuclear-Macro-Je
Ofo,Siouan
Ohlone,Not found
Oishkama No’oka/ Oishkam No’ok (Lower Pima),Not found
Okelousa,Not found
Okwanuchu,Shastan
Omagua,Tupian
Omaguaca,Not found
Ombeayiûts (Huave),Not found
Omàmiwininìmowin (Algonquin),Not found
Oneida,Iroquoian
Onondaga,Iroquoian
Onöndowa’ga:’ Gawë:nö׳ (Seneca),Not found
Oowekyala / ’Uik̓ala,Not found
Opelousas,Not found
Oro Win,Chapacuran
Osage,Siouan
Otickwàgamìmowin (Nipissing),Not found
O’odham,Not found
OꞋdam (Tepehuano del sur),Not found
Pacahuara,Pano-Tacanan
Pacaxes,Not found
Paiter,Tupian
Palawa Kani,Artificial Language
Palyku,Bookkeeping
Pamoari,Not found
Panará,Nuclear-Macro-Je
Panuco,Not found
Parakanã,Tupian
Paresí,Arawakan
Parikwaki,Not found
Parkatejê,Not found
Pascagoula,Not found
Passamaquoddy,Algic
Patamona,Cariban
Patwin (Wintun Tʼewe),Not found
Patxohã,Not found
Pawnee,Caddoan
Paĩ Tavytera,Not found
Pa̱aikoka / Secoya,Not found
Pee Dee,Not found
Pemón,Cariban
Pennacook,Algic
Pensacola,Not found
Peramangk,Not found
Pericú,Unclassifiable
Pescado,Not found
Pesh,Not found
